,Single-Family Owned 2010 or Later,Single-Family Owned 2000 to 2009,Single-Family Owned 1980 to 1999,Single-Family Owned 1960 to 1979,Single-Family Owned 1940 to 1959,Single-Family Owned 1939 or Earlier,Multi-Family Owned 2010 or Later,Multi-Family Owned 2000 to 2009,Multi-Family Owned 1980 to 1999,Multi-Family Owned 1960 to 1979,Multi-Family Owned 1940 to 1959,Multi-Family Owned 1939 or Earlier,Single-Family Rental 2010 or Later,Single-Family Rental 2000 to 2009,Single-Family Rental 1980 to 1999,Single-Family Rental 1960 to 1979,Single-Family Rental 1940 to 1959,Single-Family Rental 1939 or Earlier,Multi-Family Rental 2010 or Later,Multi-Family Rental 2000 to 2009,Multi-Family Rental 1980 to 1999,Multi-Family Rental 1960 to 1979,Multi-Family Rental 1940 to 1959,Multi-Family Rental 1939 or Earlier,Total Number of Blocks in the Block Group
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Total Number of Blocks in the Block Group
"Block Group 1, Census Tract 2",0.001272926,35.68301387,23.55348213,15.76948993,70.30928171,10.61284623,0.010378828,0.007273557,0.001745853,0.004762108,0.007643578,4.554320546,0.001394377,40.06476432,6.802015746,17.27407673,58.53335959,6.883478993,174.2628159,29.72770688,2.892756276,10.52063676,23.64109443,0.880388717,43
"Block Group 2, Census Tract 2",7.54E-09,11.63029694,120.4290158,17.49276861,17.12344533,91.87586604,2.10E-12,8.09E-08,3.05E-07,1.80E-07,6.36E-08,0.001345993,6.79E-09,10.73728276,28.59671659,15.75572068,11.72153437,48.9981958,0.001346607,12.64458275,19.30197185,15.22988942,7.513804421,9.94621541,68
"Block Group 1, Census Tract 3.01",4.21E-12,0.001134778,1.26E-07,2.04E-07,1.36E-07,2.61E-07,5.69E-09,0.000153202,0.000170384,0.000275841,0.000183108,0.000352965,7.52E-09,0.000202564,1.126404801,3.647168637,2.17894102,3.266833312,0.001135494,155.5629316,324.7638564,316.5654534,15.98898343,81.89581828,13
"Block Group 2, Census Tract 3.01",0.00169589,11.25097547,0.001058969,0.000670025,0.000963655,0.00040727,0.000322392,0.000213883,0.000201312,0.000127373,0.000183192,7.74E-05,0.001785355,0.001184451,5.574172022,7.053712892,9.130428338,3.00128704,90.04236442,303.9092144,536.9527302,204.5539846,22.38458363,25.13765578,18
"Block Group 1, Census Tract 3.02",2.36E-07,7.61E-08,0.000646457,15.19676849,1.40E-06,0.008194261,3.20E-08,1.03E-08,8.74E-05,0.000186788,1.89E-07,0.001107901,2.28E-12,7.32E-13,6.22E-09,0.000199431,1.34E-11,0.001182887,0.001382044,0.001382226,49.76250839,53.91845954,0.001380728,22.10651151,27
"Block Group 2, Census Tract 3.02",7.31E-08,5.93E-08,1.56E-07,0.001117886,2.26E-07,1.06E-07,0.000113175,9.19E-05,0.000242266,0.000157393,0.000350294,0.000163467,2.63E-08,2.14E-08,5.63E-08,0.000548575,8.14E-08,0.000569746,23.48860004,59.28094638,662.1577711,218.107657,12.30326114,15.65840889,15
"Block Group 3, Census Tract 3.02",1.63E-07,1.77E-07,6.41E-08,0.001183872,2.19E-11,4.71E-08,0.000344952,0.000375899,0.000135738,0.000227957,4.63E-08,9.97E-05,0.002492958,0.002716606,0.000980976,24.71160419,3.35E-07,10.81154585,52.10768096,176.462074,270.0261182,229.9179293,0.001183949,6.953304041,14
"Block Group 1, Census Tract 4.01",0.000191523,1.37E-08,9.79E-05,0.00023159,0.000331897,0.000454005,0.000191523,1.37E-08,9.79E-05,0.00023159,0.000331897,0.000454005,0.000632886,4.51E-08,1.940877452,0.000765289,13.16099909,4.500764233,0.000290974,0.001306832,34.65226155,36.59210632,2.521194877,38.62618661,11
"Block Group 2, Census Tract 4.01",0.000135461,0.000268921,0.000240496,0.00019652,0.000123544,0.000121661,0.000135461,0.000268921,0.000240496,0.00019652,0.000123544,0.000121661,0.000268346,0.000532726,2.858503294,0.000389302,2.936860125,0.723026127,0.000547342,68.45544267,226.4160045,82.58167807,2.495949393,27.5286249,5
"Block Group 1, Census Tract 4.02",0.000278291,0.000241201,0.0001539,0.00012065,0.000215029,0.000118551,0.000278291,0.000241201,0.0001539,0.00012065,0.000215029,0.000118551,0.001754041,12.16212046,16.49034611,6.844013842,0.001355308,27.64707406,82.31432912,132.173423,195.5028841,129.5983943,42.84797231,52.41407817,13
"Block Group 2, Census Tract 4.02",8.58E-05,0.00011613,0.00021228,0.000248103,0.000150563,0.000258941,8.58E-05,0.00011613,0.00021228,0.000248103,0.000150563,0.000258941,8.44E-05,0.913465356,3.548263964,2.195493749,0.000148039,9.420212148,23.58038912,59.10976279,250.4791707,247.5444793,27.86758603,106.3388008,9
"Block Group 1, Census Tract 5",0.000169114,5.682208977,0.000182931,18.71528814,32.70710227,58.8946689,4.82E-08,6.75E-08,5.21E-08,0.000999761,2.28E-08,4.74E-08,0.000588548,0.000823965,13.36929487,14.92624871,17.8551946,64.84753216,0.000242288,18.31691207,51.63037341,65.35723684,13.43755665,61.25737555,21
"Block Group 2, Census Tract 5",0.000596258,0.001051552,6.56E-08,16.10952976,198.1608122,68.61005625,2.08E-07,1.52E-11,2.28E-11,0.001051162,1.69E-07,6.74E-08,0.000455133,3.34E-08,0.001051444,2.817985167,23.72695334,16.56940555,4.30E-09,1.71E-08,9.31E-08,0.000282989,0.00040953,0.000358972,20
"Block Group 3, Census Tract 5",0.000105496,7.619962567,0.000234772,18.42766521,19.6947771,137.492851,0.000666708,0.002006507,0.0014837,21.83587838,0.000305063,0.002454573,8.50E-05,0.00025573,3.971058196,3.401430464,2.488345706,35.03762934,0.000356306,57.90578328,156.2067986,151.7055686,19.07494759,337.1293501,22
"Block Group 4, Census Tract 5",0.000707613,0.000818241,0.000602067,69.0982535,277.8484753,32.84471514,5.99E-08,2.89E-12,5.10E-08,0.001097502,5.77E-08,7.86E-09,0.000282602,1.36E-08,5.049451976,6.324095011,17.40634939,4.150114969,0.000107394,0.000279415,18.00100148,25.5621308,12.09258293,3.618934467,27
"Block Group 1, Census Tract 7",0.00106767,0.001066304,43.46973073,46.47906095,8.774232969,32.11513653,4.61E-06,5.92E-06,0.030159165,0.012717138,14.96121658,0.009824862,1.29E-07,1.65E-07,53.020333,51.10159684,7.365774351,38.65699962,4.86E-08,6.87E-08,0.000816804,0.000120771,3.76E-10,0.000134772,21
"Block Group 2, Census Tract 7",0.00125885,0.001258742,10.16211292,57.22524313,136.0695002,47.11516461,2.95E-11,3.79E-11,3.83E-08,8.50E-08,0.001258967,7.82E-08,1.84E-07,2.36E-07,15.02081045,76.24627326,138.4279817,68.72787743,1.34E-07,1.90E-07,0.000447318,0.000348331,1.37E-08,0.000463181,36
"Block Group 3, Census Tract 7",4.469399904,3.335086809,17.94355361,60.41493961,252.1234125,66.02649481,5.35E-08,5.13E-08,3.45E-08,4.58E-08,0.001192427,5.60E-08,0.000368929,0.000353952,14.99673674,45.51497224,145.0291279,54.45896994,42.04399258,44.37098121,69.62851695,32.41871196,0.002230481,57.22095721,45
"Block Group 1, Census Tract 8",4.368099996,37.57884151,2.238371553,169.8269916,21.36887763,45.19851912,9.82E-08,3.77E-08,0.001077977,3.78E-07,4.37E-07,1.97E-07,0.000249755,14.58009072,0.000182833,86.5264969,83.30509413,5.519896456,7.502238387,156.115934,275.1004746,99.76415817,0.003033155,0.001370322,55
"Block Group 2, Census Tract 8",15.980241,499.4993098,12.65097375,0.000704348,0.000259081,65.93750212,0.000956629,0.001334895,16.22845849,4.17E-09,1.41E-08,0.000766453,0.000744515,157.9138816,0.000842007,0.000292414,0.00082299,6.561570416,5.659923898,427.9250557,320.6358623,8.53E-05,7.58E-09,0.000412249,76
"Block Group 1, Census Tract 9.01",0.000287577,6.997503791,3.103563564,51.1108925,59.44538373,25.34214738,0.000103932,0.000361276,4.01E-05,6.35E-05,6.49E-05,0.000366351,0.000278276,0.000967312,0.750796094,38.41052702,49.18106487,17.65620083,0.000330212,0.001147846,8.145566385,81.47803395,12.37314469,0.001163971,26
"Block Group 2, Census Tract 9.01",0.000251429,0.001195077,10.8097402,162.2007735,145.0489831,0.000575774,0.00018407,1.25E-07,0.000282634,0.000408062,0.000320814,1.69E-08,0.000375965,2.55E-07,4.040981626,188.3649011,185.4405647,0.000619892,0.000384253,2.61E-07,37.76059144,344.1461268,40.1827388,3.52E-08,31
"Block Group 3, Census Tract 9.01",0.000595027,0.00142608,31.28197,125.8342879,228.000779,0.001031487,0.000299509,1.03E-07,0.000562353,0.00021766,0.000346722,2.08E-08,0.000316347,1.08E-07,4.157768947,51.9565964,103.6384765,0.000394841,0.000215481,7.38E-08,25.89336024,63.26445155,14.96690366,1.49E-08,24
"Block Group 1, Census Tract 9.02",16.6362124,679.5526346,354.9247007,45.97051473,0.001039734,21.83565545,0.000507608,47.96457621,33.93474709,5.450352679,3.90E-08,0.000507623,0.000930249,313.930199,109.302271,0.000587552,7.16E-08,0.000930276,0.000567667,167.9430559,72.73713386,6.812307795,4.37E-08,0.000567684,99
"Block Group 2, Census Tract 9.02",0.001067362,20.86427711,262.3066698,22.2295953,13.87435703,0.00106747,1.78E-07,8.02742714,136.7077845,14.36654423,0.002840138,1.35E-07,8.81E-08,14.22844715,119.2467257,0.000419414,0.001409544,6.71E-08,1.86E-07,26.28773501,274.0565388,16.79412291,0.00297057,1.41E-07,62
"Block Group 1, Census Tract 10",0.0007755,0.000999971,0.000775591,0.000239637,133.3157886,148.6796016,1.09E-07,7.79E-12,2.22E-12,1.34E-08,0.000585782,0.000414089,1.22E-08,8.75E-13,4.48E-09,3.90E-09,0.000505688,0.000494285,0.000224366,1.61E-08,0.000224392,0.000760332,18.68115864,9.317451308,16
"Block Group 2, Census Tract 10",0.000528935,0.001108494,0.000984376,20.08455276,152.3088457,171.2600872,0.000398001,4.63E-08,1.51E-08,6.045107491,3.590064517,2.558709328,0.000181624,2.11E-08,0.000124168,7.126460146,12.60225567,12.41948291,1.77E-09,2.06E-13,3.30E-09,0.000737405,0.000246969,0.000124193,18
"Block Group 3, Census Tract 10",0.000496056,17.99891675,21.98470234,12.55024112,50.04059126,100.4242322,5.78E-08,1.16E-07,5.23E-08,0.000584849,0.00018262,0.000232302,0.000474931,0.000957357,7.732089142,12.41630426,11.54447462,20.30553583,2.90E-05,5.84E-05,1.283092366,8.032746179,1.414515545,1.269542758,18
"Block Group 4, Census Tract 10",0.000164504,0.001184396,14.90096231,0.765104128,64.22031039,155.8896215,0.000468047,1.87E-07,0.000865229,0.870749951,5.723748965,8.806696814,0.000388658,1.55E-07,12.93246427,1.867891003,36.56072923,77.78284888,0.000163595,6.54E-08,14.81865679,8.344296194,30.93249022,33.5801945,32
"Block Group 5, Census Tract 10",6.56E-05,0.001255106,4.953813681,3.558436582,44.68504043,37.26029858,0.000277432,2.95E-07,0.000427771,6.022643229,5.922776251,3.130380768,0.000259419,2.76E-07,7.19995777,14.54834279,42.60179659,31.13409768,0.000653953,6.95E-07,49.40805162,389.2171188,215.8580134,80.49629136,20
"Block Group 1, Census Tract 11",0.000377642,0.636648734,7.546971005,103.8941555,555.8278891,6.618817386,0.000150673,8.47E-05,0.000188195,0.000370107,0.000245588,1.14E-05,0.000298707,1.007151731,2.984748304,68.2371801,73.51814819,0.294629887,0.000223641,1.508101412,8.380011783,40.10205519,0.000364522,0.441176573,43
"Block Group 2, Census Tract 11",0.000271237,0.00024158,0.000577927,3.096486568,163.0791462,89.42563364,0.000337507,1.00E-07,4.49E-08,3.44E-05,0.000224721,0.000481708,0.00046972,0.000836721,0.000500418,4.452709688,47.22564304,8.715326321,2.42E-08,8.62E-08,9.67E-08,0.000180098,1.61E-08,0.00089817,18
"Block Group 3, Census Tract 11",0.000254079,1.888648774,7.972389868,24.70456003,246.0266433,151.3086713,0.000112372,0.000278432,0.000220372,9.76E-05,0.000120499,0.000289695,0.000277242,4.121642431,4.34958326,22.38366335,44.89112135,9.291467357,0.000475224,14.12993461,27.958815,30.11694537,0.000509593,31.85327899,40
"Block Group 1, Census Tract 12.01",5.54E-08,0.000776272,35.09939079,149.3205348,111.0539201,0.000559213,4.60E-08,0.000643905,0.00014413,0.000131905,0.000306038,2.58E-08,2.64E-08,0.000370233,5.469574731,21.38771895,24.63524293,0.000666775,0.00122591,56.39596685,41.57544983,49.97849058,4.078885861,2.45E-08,16
"Block Group 2, Census Tract 12.01",0.000329833,0.000304371,71.72664949,245.7957986,71.47526574,0.00024256,0.000221582,0.000204476,0.000238545,0.000175853,0.000159525,9.05E-09,0.00041198,0.000380176,29.27213668,92.2017757,41.52394744,0.000757426,3.66E-05,0.000110972,0.000426377,0.000412871,1.32E-05,5.34E-14,26
"Block Group 3, Census Tract 12.01",1.47E-07,4.46E-08,49.15456391,266.1901728,48.23400106,0.000352036,2.62E-07,7.97E-08,0.000434897,0.000506641,0.000286392,3.50E-08,1.46E-07,4.44E-08,15.98985496,79.59094202,22.3358734,0.000876225,0.001227748,0.001228133,22.06459457,33.76372413,0.671360327,5.85E-09,14
"Block Group 4, Census Tract 12.01",3.21E-07,9.78E-08,0.000744747,325.9195417,124.2322882,26.84660498,1.43E-07,4.34E-08,1.64E-09,0.000154145,0.000183296,0.000662371,1.73E-07,5.27E-08,0.000131071,52.72298249,31.12447808,36.15225855,0.000999358,0.000999801,0.000124175,15.3553935,0.642286944,0.000165787,30
"Block Group 5, Census Tract 12.01",7.46E-05,3.73E-05,14.64197711,49.04028389,3.560721003,7.10E-05,0.00035431,0.000177158,0.000344118,0.00024794,5.62E-05,1.87E-08,0.000465834,0.000232921,29.86067076,91.92714264,10.33729133,0.001108581,33.03084968,54.26598993,347.1591209,328.5549789,2.617803739,6.24E-08,11
"Block Group 1, Census Tract 12.03",7.21E-05,0.007355569,28.42581821,114.1537393,154.3338395,7.21E-05,0.000845443,0.086194937,13.95951565,14.93698971,0.009227213,0.000845443,7.27E-05,0.007412585,1.614451096,16.69915013,66.65577507,7.27E-05,9.70E-06,8.898994052,5.52E-06,0.209425668,0.000105849,9.70E-06,22
"Block Group 2, Census Tract 12.03",0.000397088,0.000292708,260.3137279,541.1150889,30.34320321,0.000397088,0.000213059,0.000157053,5.853302779,3.241971007,8.31E-05,0.000213059,0.000400471,0.000295201,14.7958233,79.218026,13.1149969,0.000400471,4.00E-08,0.000265696,3.79E-08,0.000744827,1.56E-08,4.00E-08,47
"Block Group 3, Census Tract 12.03",0.000801962,0.000172449,248.2091895,30.98373052,5.545197999,0.000801962,7.78E-08,1.67E-08,0.001009259,3.36E-05,2.75E-09,7.78E-08,0.000240536,5.17E-05,4.195689158,1.348998489,0.712799209,0.000240536,4.23E-07,0.00081881,1.89E-07,0.000223085,1.49E-08,4.23E-07,14
"Block Group 4, Census Tract 12.03",0.000104776,1.57E-08,181.0500192,113.8056465,6.14329831,0.000104776,1.18E-08,1.77E-12,0.000856515,0.000143455,3.54E-09,1.18E-08,0.000153468,2.30E-08,14.94561575,24.19754772,3.856395291,0.000153468,0.000741737,0.000999953,0.001852176,10.99540314,0.000221889,0.000741737,11
"Block Group 1, Census Tract 12.04",0.000331738,429.3908402,526.6969777,203.0649556,47.59203897,22.20767679,6.24E-05,0.000199041,0.000199043,0.000199044,0.000199038,0.000199021,0.000331726,0.001057573,57.10958523,6.345542611,8.460490603,0.001057469,0.000331723,0.001057564,31.72726721,62.39728473,0.001057552,0.00105746,76
"Block Group 1, Census Tract 12.05",0.000379499,181.3640998,278.5527344,0.000260099,2.820531722,3.25E-08,1.38E-08,45.19064206,9.002232705,0.001080152,0.000134635,1.35E-07,6.28E-09,48.72234036,38.82306831,8.3358508,6.11E-05,0.001041981,0.000662678,171.8253549,27.96888442,0.000383532,2.390256639,4.79E-08,31
"Block Group 2, Census Tract 12.05",16.26492494,77.73697573,14.95159661,0.000174283,19.83621509,0.000329202,3.12E-08,0.001021404,2.55E-05,3.82E-08,4.99E-08,7.21E-08,0.000453745,35.22953313,3.515381248,9.422565644,0.00072511,17.79817955,106.2427382,275.4983788,5.615788866,0.000961334,62.88221559,0.001815852,73
"Block Group 3, Census Tract 12.05",106.2370803,574.5417815,219.8011742,1.86E-07,47.41907954,1.86E-07,2.58E-08,0.000952686,4.73E-05,5.14E-12,1.51E-08,5.14E-12,0.000294396,25.86404189,5.133462569,0.000999774,0.000172184,0.000999774,25.76238285,75.5919824,3.064897251,3.81E-08,5.580650921,3.81E-08,42
"Block Group 1, Census Tract 12.06",0.000274176,15.99890537,82.7735045,242.2321076,15.99794749,27.99729033,0.000214817,0.000313378,3.486717504,10.51136738,0.000596875,0.000783423,9.20E-05,0.000134203,0.497724784,4.501455644,0.00025561,0.000335498,0.000419011,0.00061126,12.24183174,30.7544251,0.001164235,0.001528106,18
"Block Group 2, Census Tract 12.06",0.000235393,27.77240563,228.6998168,94.19041956,5.785405384,0.001157135,0.000295542,0.000871724,15.43755064,6.549699851,0.000345892,5.19E-08,0.000526335,0.001552465,9.164314796,11.66444975,0.000616003,9.24E-08,0.000100026,0.000295035,9.404707059,3.325117752,0.000117067,1.76E-08,26
"Block Group 1, Census Tract 13.01",0.000186399,0.001203545,100.886086,286.3235981,183.4447541,0.000568215,0.000271707,9.75E-08,33.39558688,60.50808806,0.000934966,7.81E-09,0.00016411,5.89E-08,12.73946482,25.03591224,52.51862454,4.72E-09,0.000581693,2.09E-07,161.1797638,252.961573,0.002001654,0.000635682,35
"Block Group 2, Census Tract 13.01",0.00113414,0.001134202,43.09912307,355.0023257,0.001134191,32.89174604,2.10E-08,1.17E-12,0.000181222,0.000952953,7.34E-14,5.75E-09,3.10E-08,1.72E-12,0.000169185,0.000964966,1.01E-08,8.49E-09,9.57E-09,5.32E-13,0.000186259,0.000848396,3.35E-14,9.95E-05,16
"Block Group 3, Census Tract 13.01",0.000256332,17.99696762,0.000612143,161.4709299,106.5303261,0.000870303,0.000197082,0.000768726,0.000106881,17.99860664,0.000286386,6.31E-09,0.000440044,0.001716406,0.000150721,27.52978284,59.46801808,1.41E-08,0.000106535,0.000415543,0.000130248,18.99902701,0.000154809,0.000129669,20
"Block Group 4, Census Tract 13.01",0.000330927,0.001110169,257.6720043,48.39022122,0.000875643,61.45146865,0.00011214,2.09E-08,19.8287918,2.377306103,1.04E-09,0.000196451,0.000272734,5.08E-08,30.45816684,3.960777992,0.000234667,0.000477787,0.000394513,7.35E-08,157.2627529,16.33181359,3.65E-09,26.26269137,14
"Block Group 5, Census Tract 13.01",0.000194123,0.000999765,128.465152,141.4360802,11.09852186,35.99833776,0.000488444,1.40E-07,73.40464798,51.59372893,9.76E-05,0.000854503,0.000317427,9.08E-08,30.12871992,22.96899134,5.901312636,0.00055532,1.64E-09,4.68E-13,0.000554,0.00033729,3.27E-10,0.000108706,20
"Block Group 1, Census Tract 13.02",0.001031429,0.000762245,177.7355766,234.0782056,0.001031794,0.000547417,2.49E-07,0.000163802,23.73608203,0.001484324,1.17E-07,0.001058732,1.97E-07,0.000106057,37.90255181,2.349241311,9.29E-08,0.000837828,2.43E-07,1.45E-08,136.3169528,118.6198605,1.14E-07,8.254504666,43
"Block Group 2, Census Tract 13.02",8.526326343,109.467569,719.1398381,41.31784149,18.12103122,2.30E-07,0.000808665,9.228683618,37.67708667,0.000102786,0.000808781,1.74E-07,0.000874604,8.166431372,82.22624645,0.222334731,0.000874729,1.89E-07,0.000617235,0.000640367,169.4669535,6.433247008,0.000617323,0.001065485,97
"Block Group 1, Census Tract 14",0.00041061,2.01E-07,0.000585721,0.000237622,0.000534981,2.82E-08,7.46E-07,4.78E-07,1.41E-07,0.001765855,9.71E-07,9.72E-07,9.78E-08,4.51E-08,0.000148348,0.000728223,0.000892321,1.27E-07,0.001357732,0.001768461,42.45971552,65.4571283,12.38286957,17.69185293,49
"Block Group 2, Census Tract 14",20.68670553,513.1056654,153.5785089,70.20448966,16.66396789,1.24E-07,0.001081366,35.07025372,0.001066669,15.01808777,0.000871084,1.23E-07,0.001109374,25.85961866,8.754368417,48.42221254,6.255518062,1.26E-07,0.000956248,62.99413192,155.6364211,270.351804,5.392072726,0.001088566,41
"Block Group 1, Census Tract 53",2.11E-09,2.91E-05,0.000135884,0.00018893,0.000706641,9.85E-05,0.000312681,0.000540402,7.011343484,0.000222434,0.000759611,11.53142783,0.000114492,0.000197874,16.6872935,7.655987131,27.81395713,0.000140745,64.90579938,793.9414681,558.1391866,34.06903286,0.001530861,23.23952576,69
"Block Group 2, Census Tract 53",0.000713072,0.378252458,12.43858245,12.43638258,57.14994712,19.81077353,4.10E-08,2.72E-09,0.000248842,5.68E-09,2.38E-08,0.000899558,0.000301334,2.00E-05,11.88395304,3.920720763,17.50053304,0.000220309,31.00771918,14.55185856,72.14883138,3.166914118,0.000174838,6.602953769,27
"Block Group 3, Census Tract 53",0.000183061,0.00099864,0.000257375,112.5527264,30.44198563,15.00371038,0.000463568,3.16E-07,0.000226697,0.002262054,0.000558613,29.99534083,0.000162294,1.11E-07,0.000515881,74.44233424,19.55692385,0.000350043,0.000191066,9.22E-07,3.58E-08,0.000687937,2.24E-09,0.000120029,33
"Block Group 4, Census Tract 53",0.00062202,1.329842936,28.75155156,31.16048051,62.34159799,0.00088611,7.05E-08,1.88E-08,0.001133548,2.80E-08,5.12E-08,7.93E-08,0.00068714,0.000183633,71.80873701,25.68040977,49.90445746,2.58E-08,22.67469388,42.88817947,139.8042108,6.651918398,0.000159882,0.000247585,33
"Block Group 1, Census Tract 54.01",5.88E-07,8.706281071,75.24713266,52.90455906,62.21880314,0.000961252,4.99E-11,2.38E-08,0.001047643,2.93E-08,3.18E-08,5.12E-08,1.75E-07,7.353501761,10.05872876,21.70824239,8.029464823,8.65E-05,0.001047011,3.847931084,35.187149,20.73467055,1.000392423,3.98E-09,34
"Block Group 2, Census Tract 54.01",0.004575777,12.18159063,17.79338388,38.66953734,31.25198893,8.09860329,5.71E-07,4.90E-08,0.000364722,3.15E-08,2.35E-08,0.0006346,0.009158827,69.2149542,16.00096254,106.741907,27.1317013,4.900721007,9.986264825,6.603455126,10.20528886,18.58855561,0.616309741,4.11E-05,22
"Block Group 3, Census Tract 54.01",1.91E-07,12.46746138,28.79747751,80.62681912,69.97412121,0.000913667,4.21E-11,8.86E-08,0.001042326,1.16E-07,9.29E-08,1.26E-07,8.92E-08,16.52114104,6.039598653,51.90528495,14.16781542,0.000128945,0.00104247,16.89241468,41.28266004,96.87298177,3.449096101,1.16E-08,36
"Block Group 4, Census Tract 54.01",1.30E-07,0.000116326,43.66231944,17.57694342,1.703184638,5.337081473,9.53E-07,2.75E-08,52.56695593,0.000842072,7.52E-05,24.56385897,3.42E-07,0.000867437,51.52973334,63.67557399,1.94054907,4.2385491,0.001263005,0.000280639,111.449142,37.60306084,0.149481096,0.000120553,31
"Block Group 5, Census Tract 54.01",7.95E-09,1.31227198,12.87448528,4.455860784,16.75920899,39.47901435,3.46E-13,1.84E-09,9.20E-05,1.27E-09,4.39E-09,0.00107805,7.21E-09,3.375852103,5.241807355,5.56879481,6.587437428,10.81632619,0.001169983,47.9618007,497.8528783,144.4151238,22.28328839,0.013509536,14
"Block Group 1, Census Tract 54.02",0.000664148,19.47458077,231.6089753,67.56358373,20.05885456,0.000122408,1.54E-08,8.81E-05,0.000498027,0.000177879,0.000476613,1.06E-08,0.00057649,3.808094752,50.92477666,9.990972213,17.16025809,0.000456957,2.67E-08,1.530847724,7.785003201,3.089503175,0.000827807,0.000661305,21
"Block Group 2, Census Tract 54.02",0.000700125,18.15488127,120.0757005,255.8358953,11.97746299,0.000150779,1.55E-08,7.86E-05,0.000246901,0.000644086,0.000272141,1.25E-08,0.000541563,3.163581788,23.52745232,33.71340186,9.131214582,0.000501596,2.04E-08,1.032489664,2.920027647,8.463809329,0.000357616,0.000589336,41
"Block Group 3, Census Tract 54.02",45.96411449,186.3120699,150.3367058,95.61133164,12.40473364,14.36948201,0.00026505,0.000209756,8.04E-05,6.26E-05,7.33E-05,0.000308845,21.03480162,19.20759467,17.42734146,7.454127272,5.594966525,28.2813225,0.000818836,6.480125725,2.235872352,1.934478472,0.000226511,34.34888664,39
"Block Group 1, Census Tract 55",0.000215697,0.001130267,5.401951029,26.78999671,28.31767133,113.5550985,1.03E-06,3.26E-11,1.67E-07,4.14E-07,4.76E-07,0.001128213,0.000234781,7.41E-09,1.175973967,13.16909927,20.11604926,22.05337797,0.000678785,2.14E-08,8.115925177,39.16163621,4.690199392,90.44963132,45
"Block Group 2, Census Tract 55",3.39E-06,148.736385,149.3016205,90.56808382,21.82513089,0.568781866,0.000994115,0.262647625,0.282356096,0.085640231,0.022447932,0.345909945,1.63E-06,0.00043164,14.38490501,19.70398201,6.861789997,0.048888829,8.58E-07,0.000226651,18.03074081,10.6420429,0.29057101,0.036417285,65
"Block Group 3, Census Tract 55",0.000438333,23.8384519,15.91721473,205.7540334,181.91752,97.02516029,3.02E-06,9.91E-07,7.08E-07,4.58E-06,4.40E-06,0.001388575,0.000728145,0.000238553,5.28824169,154.3579223,197.2226708,28.75742572,0.000232779,7.63E-05,4.035591029,50.7562125,5.084648984,13.04179029,32
"Block Group 4, Census Tract 55",0.000667927,0.001347519,32.14767526,32.14960942,80.44121577,330.93779,1.31E-06,1.59E-11,4.06E-07,2.03E-07,5.53E-07,0.00134506,0.000244552,2.97E-09,2.354081946,5.315988728,19.22156384,21.61920819,0.00043374,5.27E-09,9.966652841,9.697867281,2.749316647,54.39498881,47
